user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.19	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA7227;s__UBA7227 sp002473085	GCA_002473085.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA7227;s__UBA7227 sp002473085	98.81	0.86	GCA_002473085.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA7227;s__UBA7227 sp002473085	98.81	0.86	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA7227;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003598975.1, s__UBA7227 sp003598975, 95.0, 80.94, 0.58	92.18	11	N/A	N/A
bin.2	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__UCB2;s__UCB2 sp003577245	GCA_003577245.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__UCB2;s__UCB2 sp003577245	98.61	0.88	GCA_003577245.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__UCB2;s__UCB2 sp003577245	98.61	0.88	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.92	11	N/A	N/A
bin.20	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.07	11	0.8176014558013629	N/A
bin.21	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002898075.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__BMS3ABIN03;s__BMS3ABIN03 sp002898075	75.86	0.07	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	93.75	11	0.8441665733473444	N/A
bin.22	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__PALSA-1355;g__PLA5;s__PLA5 sp003576845	GCA_003576845.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__PALSA-1355;g__PLA5;s__PLA5 sp003576845	98.37	0.88	GCA_003576845.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__PALSA-1355;g__PLA5;s__PLA5 sp003576845	98.37	0.88	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__PALSA-1355;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	77.22	11	N/A	N/A
bin.23	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_005808475.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__SYLY01;s__SYLY01 sp005808475	75.77	0.08	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	69.6	11	0.8164996536605752	N/A
bin.24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	ANI	N/A	GCF_000383415.1, s__Hyphomicrobium zavarzinii, 95.0, 78.52, 0.27; GCF_900117455.1, s__Hyphomicrobium sp900117455, 95.0, 78.16, 0.27; GCF_000503895.1, s__Hyphomicrobium nitrativorans, 95.0, 78.01, 0.23; GCA_002928395.1, s__Hyphomicrobium sp002928395, 95.0, 77.96, 0.36; GCA_002279935.1, s__Hyphomicrobium sp002279935, 95.0, 77.67, 0.18; GCA_002928955.1, s__Hyphomicrobium sp002928955, 95.0, 77.63, 0.27; GCF_900116175.1, s__Hyphomicrobium facile, 95.0, 77.44, 0.16; GCF_000253295.1, s__Hyphomicrobium sp000253295, 95.0, 77.29, 0.17; GCF_000384335.2, s__Hyphomicrobium sp000384335, 95.0, 77.26, 0.15; GCF_000143145.1, s__Hyphomicrobium denitrificans, 95.0, 77.23, 0.18; GCA_003987855.1, s__Hyphomicrobium sp003987855, 95.0, 77.22, 0.13; GCA_002928735.1, s__Hyphomicrobium sp002928735, 95.0, 77.21, 0.2; GCF_000230975.2, s__Hyphomicrobium denitrificans_A, 95.0, 77.19, 0.16; GCA_003987725.1, s__Hyphomicrobium sp003987725, 95.0, 77.05, 0.17; GCA_001464285.1, s__Hyphomicrobium sp001464285, 95.0, 76.88, 0.14; GCA_002928515.1, s__Hyphomicrobium sp002928515, 95.0, 76.34, 0.1	95.65	11	0.9147975736026919	N/A
bin.25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	97.59	0.82	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	97.59	0.82	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900116685.1, s__Nitrosomonas eutropha_A, 95.0, 79.27, 0.47; GCF_003201195.1, s__Nitrosomonas eutropha, 95.0, 79.11, 0.46; GCA_006742785.1, s__Nitrosomonas stercoris, 95.0, 77.21, 0.15; GCF_001007935.1, s__Nitrosomonas communis, 95.0, 76.84, 0.05; GCF_003268955.1, s__Nitrosomonas sp003268955, 95.0, 76.78, 0.03; GCF_001455205.1, s__Nitrosomonas ureae, 95.0, 76.71, 0.06; GCF_900107165.1, s__Nitrosomonas halophila, 95.0, 76.69, 0.16; GCF_003011925.2, s__Nitrosomonas sp003011925, 95.0, 76.56, 0.04; GCF_900107265.1, s__Nitrosomonas sp900107265, 95.0, 76.49, 0.04; GCF_900103035.1, s__Nitrosomonas mobilis, 95.0, 76.47, 0.09; GCF_900111165.1, s__Nitrosomonas sp900111165, 95.0, 76.47, 0.04; GCF_900108305.1, s__Nitrosomonas ureae_B, 95.0, 76.41, 0.06; GCA_003514765.1, s__Nitrosomonas sp003514765, 95.0, 76.32, 0.04; GCF_900100485.1, s__Nitrosomonas sp900100485, 95.0, 76.31, 0.07; GCF_003051105.1, s__Nitrosomonas nitrosa, 95.0, 76.31, 0.06; GCF_003046585.1, s__Nitrosomonas aestuarii, 95.0, 76.2, 0.03; GCF_900110145.1, s__Nitrosomonas marina, 95.0, 76.07, 0.04; GCF_900114745.1, s__Nitrosomonas communis_A, 95.0, 76.06, 0.04; GCF_900113925.1, s__Nitrosomonas sp900113925, 95.0, 76.02, 0.04; GCA_002083395.1, s__Nitrosomonas sp002083395, 95.0, 75.99, 0.03; GCA_900696615.1, s__Nitrosomonas sp900696615, 95.0, 75.99, 0.03; GCF_900106555.1, s__Nitrosomonas oligotropha, 95.0, 75.96, 0.06; GCF_003046215.1, s__Nitrosomonas sp003046215, 95.0, 75.96, 0.06; GCF_900112825.1, s__Nitrosomonas sp900112825, 95.0, 75.9, 0.04; GCF_004345375.1, s__Nitrosomonas sp004345375, 95.0, 75.84, 0.06; GCA_002083595.1, s__Nitrosomonas sp002083595, 95.0, 75.77, 0.04; GCF_900143275.1, s__Nitrosomonas cryotolerans, 95.0, 75.74, 0.03; GCF_000175095.2, s__Nitrosomonas sp000175095, 95.0, 75.67, 0.04; GCA_002435335.1, s__Nitrosomonas sp002435335, 95.0, 75.66, 0.02; GCF_003201565.1, s__Nitrosomonas sp003201565, 95.0, 75.65, 0.04; GCF_900111605.1, s__Nitrosomonas marina_A, 95.0, 75.59, 0.04; GCF_000219585.1, s__Nitrosomonas sp000219585, 95.0, 75.39, 0.05; GCA_005779435.1, s__Nitrosomonas sp005779435, 95.0, 74.82, 0.02	72.68	11	N/A	N/A
bin.26	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002440805.1	95.0	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__UBA6265;s__UBA6265 sp002440805	75.23	0.03	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.96	11	0.7317507221132287	N/A
bin.27	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__OLB14 sp900696595	GCA_900696595.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__OLB14 sp900696595	97.31	0.86	GCA_900696595.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__OLB14 sp900696595	97.31	0.86	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002343775.1, s__OLB14 sp002343775, 95.0, 78.56, 0.42; GCA_003599285.1, s__OLB14 sp003599285, 95.0, 78.4, 0.36; GCA_001567105.1, s__OLB14 sp001567105, 95.0, 76.49, 0.05; GCA_002345215.1, s__OLB14 sp002345215, 95.0, 76.14, 0.07; GCA_003524705.1, s__OLB14 sp003524705, 95.0, 75.72, 0.05	79.07	11	N/A	N/A
bin.28	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__	N/A	N/A	N/A	N/A	N/A	GCA_002299395.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395	79.05	0.5	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__	taxonomic classification defined by topology and ANI	N/A	GCA_005778215.1, s__UBA668 sp005778215, 95.0, 79.06, 0.44; GCA_003154135.1, s__UBA668 sp003154135, 95.0, 78.63, 0.47	62.3	11	0.9322109798470986	N/A
bin.3	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.57	11	0.8664484165318125	N/A
bin.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__	N/A	N/A	N/A	N/A	N/A	GCA_002292945.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__UBA964 sp002292945	77.59	0.22	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	69.38	11	0.8823145019347869	N/A
bin.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JOSHI-001;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	66.81	11	0.9329061602897135	N/A
bin.6	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__OLB13;s__OLB13 sp001567485	GCA_001567485.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__OLB13;s__OLB13 sp001567485	99.31	0.94	GCA_001567485.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__OLB13;s__OLB13 sp001567485	99.31	0.94	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.02	11	N/A	N/A
bin.7	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia fulgida	GCA_000987375.1	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia fulgida	99.11	0.9	GCA_000987375.1	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia fulgida	99.11	0.9	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002009475.1, s__Brocadia caroliniensis, 95.0, 81.23, 0.67; GCF_001753675.2, s__Brocadia sapporoensis, 95.0, 80.24, 0.53; GCF_000949635.1, s__Brocadia sinica, 95.0, 78.64, 0.42	85.99	11	N/A	N/A
bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__Bauldia;s__	N/A	N/A	N/A	N/A	N/A	GCF_900104485.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__Bauldia;s__Bauldia litoralis	77.87	0.32	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	79.35	11	0.8822081068095435	N/A
bin.9	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	68.75	11	0.5208957010175899	Genome has more than 11.7% of markers with multiple hits
